Başlıklar,2024 3. çeyrek,2024 2. çeyrek,2024 1. çeyrek,2023 4. çeyrek
Diğer Kısa Vadeli Yükümlülükler,39.551.000.000,33.658.000.000,28.862.000.000,41.275.730.061
(Ara Toplam),348.022.000.000,331.593.000.000,306.574.000.000,364.045.934.107
Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,0,0,0,0
Uzun Vadeli Yükümlülükler,386.956.000.000,344.483.000.000,343.881.000.000,441.577.354.645
Finansal Borçlar,367.179.000.000,325.193.000.000,325.479.000.000,421.658.870.118
Diğer Finansal Yükümlülükler,0,0,0,0
Ticari Borçlar,0,0,0,0
Diğer Borçlar,1.395.000.000,1.346.000.000,1.186.000.000,1.017.593.951
Müşteri Söz.Doğan Yük.,0,0,0,0
Finans Sektörü Faaliyetlerinden Borçlar,0,0,0,0
Devlet Teşvik ve Yardımları,0,0,0,0
Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),4.978.000.000,5.266.000.000,5.453.000.000,4.327.151.846
Uzun vadeli karşılıklar,11.637.000.000,11.003.000.000,9.551.000.000,12.567.081.500
Çalışanlara Sağlanan Faydalara İliş.Karş.,0,0,0,0
Ertelenmiş Vergi Yükümlülüğü,1.767.000.000,1.675.000.000,2.212.000.000,2.006.657.230
Diğer Uzun Vadeli Yükümlülükler,0,0,0,0
Özkaynaklar,618.691.000.000,557.767.000.000,515.521.000.000,621.033.919.866
Ana Ortaklığa Ait Özkaynaklar,618.586.000.000,557.648.000.000,515.404.000.000,621.230.917.360
Ödenmiş Sermaye,1.380.000.000,1.380.000.000,1.380.000.000,1.380.000.000
Karşılıklı İştirak Sermayesi Düzeltmesi (-),0,0,0,0
Hisse Senedi İhraç Primleri,0,0,0,0
Değer Artış Fonları,0,0,0,0
Yabancı Para Çevrim Farkları,39.807.000.000,38.584.000.000,37.824.000.000,39.691.598.490
Kardan Ayrılan Kısıtlanmış Yedekler,714.000.000,714.000.000,714.000.000,970.042.831
Geçmiş Yıllar Kar/Zararları,229.086.000.000,229.086.000.000,229.086.000.000,89.787.381.858
Dönem Net Kar/Zararı,88.831.000.000,37.309.000.000,6.918.000.000,221.449.637.879
Diğer Özsermaye Kalemleri,258.768.000.000,250.575.000.000,239.482.000.000,267.457.383.601
Azınlık Payları,105.000.000,119.000.000,117.000.000,-196.997.494
TOPLAM KAYNAKLAR,1.353.669.000.000,1.233.843.000.000,1.165.976.000.000,1.426.657.208.618
Sürdürülen Faaliyetler,0,0,0,0
Satış Gelirleri,551.928.000.000,330.113.000.000,147.238.000.000,685.276.840.495
Satışların Maliyeti (-),-439.603.000.000,-278.727.000.000,-131.098.000.000,-522.997.098.129
Ticari Faaliyetlerden Diğer Kar (Zarar),0,0,0,0
Ticari Faaliyetlerden Brüt Kar (Zarar),112.325.000.000,51.386.000.000,16.140.000.000,162.279.742.366
"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler",0,0,0,0
"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)",0,0,0,0
Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),0,0,0,0
Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),0,0,0,0
Diğer Gelir ve Giderler,0,0,0,0
BRÜT KAR (ZARAR),112.325.000.000,51.386.000.000,16.140.000.000,162.279.742.366
"Pazarlama, Satış ve Dağıtım Giderleri (-)",-43.636.000.000,-28.840.000.000,-13.716.000.000,-56.926.841.291
Genel Yönetim Giderleri (-),-12.533.000.000,-6.942.000.000,-3.332.000.000,-14.431.085.373
Araştırma ve Geliştirme Giderleri (-),0,0,0,0
Diğer Faaliyet Gelirleri,11.688.000.000,6.849.000.000,3.439.000.000,16.943.143.069
Diğer Faaliyet Giderleri (-),-2.489.000.000,-2.146.000.000,-1.328.000.000,-10.826.710.538
Faaliyet Karı Öncesi Diğer Gelir ve Giderler,0,0,0,0
FAALİYET KARI (ZARARI),65.355.000.000,20.307.000.000,1.203.000.000,97.038.248.233
Net Faaliyet Kar/Zararı,56.156.000.000,15.604.000.000,-908.000.000,90.921.815.702
Yatırım Faaliyetlerinden Gelirler,41.678.000.000,23.822.000.000,9.582.000.000,32.865.974.981
Yatırım Faaliyetlerinden Giderler (-),-1.050.000.000,-66.000.000,-50.000.000,-2.267.509.084
Diğer Gelir ve Giderler,0,0,0,0
Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,4.432.000.000,624.000.000,74.000.000,9.124.380.471
Finansman Gideri Öncesi Faaliyet Karı/Zararı,110.415.000.000,44.687.000.000,10.809.000.000,136.761.094.601
(Esas Faaliyet Dışı) Finansal Gelirler,29.770.000.000,11.826.000.000,6.147.000.000,16.307.316.675
(Esas Faaliyet Dışı) Finansal Giderler (-),-50.720.000.000,-23.735.000.000,-11.861.000.000,-29.052.375.222
Vergi Öncesi Diğer Gelir ve Giderler,40.628.000.000,23.756.000.000,9.532.000.000,30.598.465.897
SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),89.465.000.000,32.778.000.000,5.095.000.000,124.016.036.055
Sürdürülen Faaliyetler Vergi Geliri (Gideri),-634.000.000,4.531.000.000,1.823.000.000,97.433.601.824
Dönem Vergi Geliri (Gideri),-5.326.000.000,0,0,-2.363.969.925
Ertelenmiş Vergi Geliri (Gideri),4.692.000.000,4.531.000.000,1.823.000.000,99.797.571.750
Diğer Vergi Geliri (Gideri),0,0,0,0
SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,88.831.000.000,37.309.000.000,6.918.000.000,221.449.637.879
DURDURULAN FAALİYETLER,0,0,0,0
Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),0,0,0,0
DÖNEM KARI (ZARARI),88.831.000.000,37.309.000.000,6.918.000.000,221.449.637.879
Dönem Kar/Zararının Dağılımı,0,0,0,0
Azınlık Payları,-35.000.000,-17.000.000,-13.000.000,-6.793.017
Ana Ortaklık Payları,88.866.000.000,37.326.000.000,6.931.000.000,221.456.430.896
Hisse Başına Kazanç,0,0,0,0
Seyreltilmiş Hisse Başına Kazanç,0,0,0,0
Sürdürülen Faaliyetlerden Hisse Başına Kazanç,0,0,0,0
Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,0,0,0,0
Amortisman Giderleri,52.497.000.000,33.961.000.000,16.408.000.000,65.856.941.475
Kıdem Tazminatı,1.036.000.000,464.000.000,253.000.000,853.202.939
Finansman Giderleri,-50.720.000.000,-23.735.000.000,-11.861.000.000,-29.052.375.222
Yurtiçi Satışlar,44.367.000.000,24.328.000.000,9.298.000.000,49.015.693.661
Yurtdışı Satışlar,490.083.000.000,293.993.000.000,131.919.000.000,615.867.151.115
Net Yabancı Para Pozisyonu,-172.965.000.000,-140.149.000.000,-157.864.000.000,-240.533.939.915
Parasal net yabancı para varlık/(yükümlülük) pozisyonu,-232.609.000.000,-192.232.000.000,-205.079.000.000,-288.680.127.397
Net YPP (Hedge Dahil),-284.441.000.000,-253.134.000.000,-276.838.000.000,-407.523.960.288
İşletme Faaliyetlerinden Kaynaklanan Net Nakit,158.467.000.000,83.856.000.000,35.194.000.000,197.040.969.097
Düzeltme Öncesi Kar,88.831.000.000,37.309.000.000,6.918.000.000,221.449.637.879
Düzeltmeler:,72.603.000.000,15.337.000.000,-136.000.000,-28.849.943.314
Amortisman & İtfa Payları,52.497.000.000,33.961.000.000,16.408.000.000,65.856.941.475
Karşılıklardaki Değişim,3.423.000.000,1.951.000.000,1.557.000.000,1.952.313.094
Diğer Gelir/ Gider,16.683.000.000,-20.575.000.000,-18.101.000.000,-96.659.197.883
İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),161.434.000.000,52.646.000.000,6.782.000.000,192.599.694.565
İşletme Sermayesindeki Değişiklikler,-2.057.000.000,31.493.000.000,28.546.000.000,4.104.340.888
Esas Faaliyet ile İlgili Oluşan Nakit (+),159.377.000.000,84.139.000.000,35.328.000.000,196.704.035.453
Diğer İşletme Faaliyetlerinden Nakit,-910.000.000,-283.000.000,-134.000.000,336.933.645
Sabit Sermaye Yatırımları,-29.742.000.000,-16.945.000.000,-7.299.000.000,-33.352.355.000
Diğer Yatırım Faaliyetlerinden Nakit,19.747.000.000,8.410.000.000,13.347.000.000,-143.791.867.225
Yatırım Faaliyetlerinden Kaynaklanan Nakit,-9.995.000.000,-8.535.000.000,6.048.000.000,-177.144.222.225
Serbest Nakit Akım,148.472.000.000,75.321.000.000,41.242.000.000,19.896.746.873
Finansal Borçlardaki Değişim,-55.462.000.000,-29.440.000.000,-19.338.000.000,-33.198.832.815
Temettü Ödemeleri,0,0,0,0
Sermaye Artırımı,0,0,0,0
Diğer Finansman Faaliyetlerinden Nakit,-53.843.000.000,-34.324.000.000,-15.900.000.000,-62.668.299.283
Finansman Faaliyetlerden Kaynaklanan Nakit,-109.305.000.000,-63.764.000.000,-35.238.000.000,-95.867.132.098
Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,39.167.000.000,11.557.000.000,6.004.000.000,-75.970.385.225
Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,0,0,0,0
Diğer Nakit Girişi/Çıkışı,0,0,0,0
Nakit ve Benzerlerindeki Değişim,39.167.000.000,11.557.000.000,6.004.000.000,-75.970.385.225
Diğer Nakit ve Nakit Benzerlerindeki Artış,0,0,0,0
Dönem Başı Nakit Değerler,19.941.000.000,19.900.000.000,19.930.000.000,103.062.295.733
Dönem Sonu Nakit,59.108.000.000,31.457.000.000,25.934.000.000,27.091.910.508
